subject,n_iu,n_both_e,n_both_ne,n_r1_only,n_r2_only,pct_agree,p_r1_e,p_r2_e,pe,kappa
01,1229,273,414,541,1,0.5589910496338486,0.6623270951993491,0.2229454841334418,0.41005309045503924,0.25245993625712615
03,1626,267,802,552,5,0.6574415744157441,0.503690036900369,0.16728167281672818,0.4975445141905294,0.3182312955895304
04,1459,111,899,433,16,0.6922549691569568,0.3728581220013708,0.08704592186429061,0.6050075140427336,0.22088383505012402
05,1611,141,566,900,4,0.4388578522656735,0.6461824953445066,0.09000620732464308,0.3801321686219161,0.09473904060031477
06,1453,138,930,354,31,0.7350309704060565,0.33860977288368893,0.11631108052305575,0.6238472837127921,0.2955812410201263
07,1406,176,1088,131,11,0.89900426742532,0.21834992887624466,0.13300142247510668,0.7067303509244064,0.6556215998040521
08,1005,42,714,249,0,0.7522388059701492,0.28955223880597014,0.041791044776119404,0.6928580975718424,0.193333139922829
09,1496,86,1159,238,13,0.8322192513368984,0.21657754010695188,0.0661764705882353,0.7459106637307329,0.33967811822965055
10,1398,118,966,302,12,0.7753934191702432,0.30042918454935624,0.09298998569384835,0.6624546409033136,0.3345884492951343
11,973,42,770,145,16,0.8345323741007195,0.19218910585817062,0.05960945529290853,0.7711140146757942,0.27707401715791485
12,1564,107,1230,210,17,0.8548593350383632,0.2026854219948849,0.0792838874680307,0.7501700669147899,0.419042133305406
13,1930,130,1663,79,58,0.9290155440414508,0.10829015544041451,0.09740932642487046,0.8153974603345057,0.6154741094723004
14,1181,37,1096,42,6,0.9593564775613886,0.06689246401354784,0.03640982218458933,0.9015687992423074,0.5870869995920986
15,814,60,691,39,24,0.9226044226044227,0.12162162162162163,0.10319410319410319,0.8002855435287868,0.6124688279301748
16,984,51,872,30,31,0.9380081300813008,0.08231707317073171,0.08333333333333333,0.8480691056910569,0.5919732441471572
17,1381,86,1249,22,24,0.9666908037653874,0.0782041998551774,0.07965242577842144,0.8546016828154518,0.7709107169903859
18,1325,154,1119,48,4,0.9607547169811321,0.15245283018867925,0.11924528301886793,0.7646604485582057,0.8332397475119082
19,1774,158,1570,40,6,0.9740698985343855,0.11161217587373168,0.09244644870349493,0.8165776740059661,0.8586317051368223
20,1695,109,1525,56,5,0.9640117994100295,0.09734513274336283,0.06725663716814159,0.8484924426345054,0.762465970571005
