model,metric,point_mean,boot_mean,ci_low,ci_high,boot_se
Attention (default),sens,0.5210397038210449,0.5219453640908701,0.47099588609736165,0.5737066105701664,0.02581899433091351
Attention (default),spec,0.697892351125697,0.6966668032243947,0.6603599085515883,0.7363675112606327,0.01910452621730201
Attention (default),bal_acc,0.6094660274733711,0.6093060836576328,0.5872228754991003,0.6322721463026735,0.011785705905384603
Attention (default),auc,0.6424743201873028,0.6423021930525533,0.6130408215949498,0.6720361995307715,0.014799523200152091
Attention (tuned),sens,0.5774610871198732,0.5781628414305215,0.5087543471183466,0.6522147436778879,0.037024613221161164
Attention (tuned),spec,0.6617741694906961,0.6623078294252562,0.610544740598087,0.7122897069416575,0.025641592402714155
Attention (tuned),bal_acc,0.6196176283052847,0.6202353354278902,0.5926551029765093,0.643728806608919,0.013185273227011619
Attention (tuned),auc,0.6690181095678489,0.6696312004427369,0.6343056829339795,0.7023123962361194,0.018105236217567724
DT,sens,0.5720868242450072,0.571499370009198,0.48228875983546665,0.6528832588994115,0.042968766266034394
DT,spec,0.6594924504466673,0.6607926137291426,0.5948381085183478,0.7230945803198332,0.03387384976021766
DT,bal_acc,0.6157896373458374,0.616145991869171,0.5892320242998828,0.641233303811821,0.013633854406358977
DT,auc,0.6493520645433801,0.6496793790561843,0.6150102784695185,0.6820091042646417,0.01769788244386943
LGB (default),sens,0.295264934794256,0.29595354163458804,0.22070800804204832,0.3785482501978115,0.0403339016205682
LGB (default),spec,0.8841180632237827,0.8843504020317362,0.8440818530592591,0.920675685174685,0.02001668028066227
LGB (default),bal_acc,0.5896914990090194,0.5901519718331625,0.5646729719529701,0.6170562886985085,0.013391905033124315
LGB (default),auc,0.691181309440161,0.6924275311700876,0.654177433681953,0.7288299375402248,0.018714309341631
LGB (tuned),sens,0.28132076269192074,0.2816649036248599,0.2039474159602049,0.3686202748890454,0.04102971175426587
LGB (tuned),spec,0.892512629309763,0.8923221107657845,0.8515900939972757,0.928608228004983,0.019797411477598437
LGB (tuned),bal_acc,0.5869166960008418,0.586993507195323,0.5601788341574497,0.6144623778991943,0.013701951386979763
LGB (tuned),auc,0.6956890004480712,0.6956740159804862,0.6524764139730004,0.7340338997956901,0.0206290243478357
LR,sens,0.625122582394644,0.624179389181399,0.5471053911669493,0.7068696042488889,0.040628637530447945
LR,spec,0.6425359884870513,0.6437619883622294,0.584353731506164,0.7046255179583988,0.031301455568367144
LR,bal_acc,0.6338292854408475,0.6339706887718138,0.6089411975730338,0.6585971895850409,0.012794285031773283
LR,auc,0.6974096955393638,0.6973777937118296,0.6647232466272569,0.7279752421084855,0.016447441292649002
RF (default),sens,0.223927648331932,0.22092234784910517,0.15287810086749715,0.29036635228386176,0.034644076477086665
RF (default),spec,0.9314267557789168,0.9324300385187188,0.9030418756920544,0.9575744748562919,0.014241327026648244
RF (default),bal_acc,0.5776772020554245,0.5766761931839117,0.5537939893794885,0.5988973565259721,0.0122152653443258
RF (default),auc,0.6997190741347143,0.6987136407758985,0.6575949632152517,0.7405752092835831,0.02085887165314885
RF (tuned),sens,0.23994917432064292,0.24048184793430893,0.17354964415950158,0.3110516391700939,0.0352855745991076
RF (tuned),spec,0.915371625993825,0.9155894508674745,0.8830315985173238,0.9480171840397098,0.01652327678251468
RF (tuned),bal_acc,0.577660400157234,0.5780356494008916,0.5540699458619293,0.6008297497880315,0.011929964925959565
RF (tuned),auc,0.6913806972321478,0.6923506888768047,0.6484060262703504,0.7283548595180043,0.020490493017211103
Transformer,sens,0.6905720506484329,0.6905602579426197,0.6367935905488228,0.735442672593585,0.02478125958301944
Transformer,spec,0.5039615937071629,0.5032736022448809,0.4559599063020083,0.5492893276106783,0.023649745337684137
Transformer,bal_acc,0.5972668221777979,0.5969169300937507,0.5702082372644798,0.6242592216106929,0.01386670352979183
Transformer,auc,0.6455326519812696,0.6452535893843611,0.6129977313687253,0.6785245529219721,0.017300051967983874
XGB (default),sens,0.416807888570512,0.41441097818339767,0.34061991568069966,0.49099765191443456,0.03732673668477281
XGB (default),spec,0.8138069409247454,0.8142511288872097,0.7653963421464397,0.8583645641810861,0.02396242133677302
XGB (default),bal_acc,0.6153074147476287,0.6143310535353035,0.5890942033041399,0.6384820890031768,0.012753827361030352
XGB (default),auc,0.6932224749145043,0.692081936611271,0.6555059984573258,0.7264991521270339,0.01863301429527344
XGB (tuned),sens,0.5930858127910881,0.5933512863506792,0.5119614196357,0.6771362555388493,0.04194058118714958
XGB (tuned),spec,0.6917420582555741,0.6910995652115286,0.6235314862852177,0.7562366448750129,0.03373308047188031
XGB (tuned),bal_acc,0.6424139355233309,0.6422254257811044,0.6119878813888039,0.6712590668520685,0.015616477804565976
XGB (tuned),auc,0.712083951410698,0.7116930125478412,0.6706987389450794,0.7492556912732682,0.02053826419019789
