model,metric,mean,ci_low,ci_high
"Attention default (theta=0.50, no selection)",sens,0.5210397038210449,0.4683802033425664,0.5708877977505947
"Attention default (theta=0.50, no selection)",spec,0.697892351125697,0.6608774366273211,0.7347782990613766
"Attention default (theta=0.50, no selection)",bal_acc,0.609466027473371,0.5875060868759068,0.6307408053780801
"Attention default (theta=0.50, no selection)",auc,0.6424743201873028,0.6152294193313876,0.6721028818652788
Transformer (nested theta),sens,0.6491097102070981,0.5839824813059009,0.7090653303282851
Transformer (nested theta),spec,0.531384722687577,0.4750693879668367,0.5858670500574331
Transformer (nested theta),bal_acc,0.5902472164473375,0.5658553970083455,0.6173088171393037
Transformer (nested theta),auc,0.6455326519812697,0.6127863633736954,0.6776038128354728
Transformer (orig theta=0.30),sens,0.690572050648433,0.6382353931637781,0.7382380032814251
Transformer (orig theta=0.30),spec,0.5039615937071629,0.45816029121865387,0.550963535909376
Transformer (orig theta=0.30),bal_acc,0.5972668221777979,0.57198768462947,0.6249659299094226
Transformer (orig theta=0.30),auc,0.6455326519812697,0.6127863633736954,0.6776038128354728
