model,subject,theta,sens,spec,bal_acc,auc
Transformer (nested theta),1,0.38999999999999985,0.6711656441717792,0.4396135265700483,0.5553895853709138,0.6140526362585579
Transformer (nested theta),3,0.29999999999999993,0.7469733656174334,0.56,0.6534866828087167,0.6949016343825667
Transformer (nested theta),4,0.2899999999999999,0.7142857142857143,0.5906562847608454,0.6524709995232798,0.7166653424439854
Transformer (nested theta),5,0.6099999999999998,0.42748091603053434,0.8507992895204263,0.6391401027754803,0.7433629818448063
Transformer (nested theta),6,0.2899999999999999,0.6098484848484849,0.46918918918918917,0.5395188370188371,0.5506879606879607
Transformer (nested theta),7,0.6099999999999998,0.45962732919254656,0.6771217712177122,0.5683745502051294,0.6466073434026266
Transformer (nested theta),8,0.29999999999999993,0.6317567567567568,0.5035260930888575,0.5676414249228072,0.5954856478481302
Transformer (nested theta),9,0.2899999999999999,0.5730994152046783,0.40814558058925476,0.49062249789696655,0.530549727872541
Transformer (nested theta),10,0.38999999999999985,0.36091954022988504,0.6282450674974039,0.4945823038636445,0.5205118105537054
Transformer (nested theta),11,0.2899999999999999,0.5339805825242718,0.6466753585397653,0.5903279705320186,0.6449285452082885
Transformer (nested theta),12,0.29999999999999993,0.592375366568915,0.5568274734260016,0.5746014199974583,0.6274580798622684
Transformer (nested theta),13,0.2899999999999999,0.6964285714285714,0.40484848484848485,0.5506385281385281,0.61895670995671
Transformer (nested theta),14,0.2899999999999999,0.7613636363636364,0.687099725526075,0.7242316809448557,0.8104674374116277
Transformer (nested theta),15,0.29999999999999993,0.8248175182481752,0.345642540620384,0.5852300294342796,0.6657214633041865
Transformer (nested theta),16,0.2899999999999999,0.55,0.5775462962962963,0.5637731481481482,0.576880787037037
Transformer (nested theta),17,0.2899999999999999,0.8148148148148148,0.42696629213483145,0.6208905534748231,0.699013138338981
Transformer (nested theta),18,0.2899999999999999,0.7607655502392344,0.3942652329749104,0.5775153916070724,0.598249043919672
Transformer (nested theta),19,0.29999999999999993,0.794392523364486,0.5230769230769231,0.6587347232207046,0.7376108315360652
Transformer (nested theta),20,0.2899999999999999,0.8089887640449438,0.4060646011865524,0.6075266826157482,0.6730092657744069
Transformer (orig theta=0.30),1,0.3,0.7815950920245399,0.28743961352657005,0.534517352775555,0.6140526362585579
Transformer (orig theta=0.30),3,0.3,0.7469733656174334,0.56,0.6534866828087167,0.6949016343825667
Transformer (orig theta=0.30),4,0.3,0.7089285714285715,0.5984427141268076,0.6536856427776896,0.7166653424439854
Transformer (orig theta=0.30),5,0.3,0.75,0.6447602131438721,0.697380106571936,0.7433629818448063
Transformer (orig theta=0.30),6,0.3,0.6060606060606061,0.4702702702702703,0.5381654381654382,0.5506879606879607
Transformer (orig theta=0.30),7,0.3,0.7546583850931677,0.49723247232472323,0.6259454287089454,0.6466073434026266
Transformer (orig theta=0.30),8,0.3,0.6317567567567568,0.5035260930888575,0.5676414249228072,0.5954856478481302
Transformer (orig theta=0.30),9,0.3,0.5701754385964912,0.4168110918544194,0.49349326522545534,0.530549727872541
Transformer (orig theta=0.30),10,0.3,0.45977011494252873,0.5638629283489096,0.5118165216457191,0.5205118105537054
Transformer (orig theta=0.30),11,0.3,0.5339805825242718,0.6558018252933507,0.5948912039088112,0.6449285452082885
Transformer (orig theta=0.30),12,0.3,0.592375366568915,0.5568274734260016,0.5746014199974583,0.6274580798622684
Transformer (orig theta=0.30),13,0.3,0.6964285714285714,0.41878787878787876,0.557608225108225,0.61895670995671
Transformer (orig theta=0.30),14,0.3,0.7613636363636364,0.6935041171088746,0.7274338767362555,0.8104674374116277
Transformer (orig theta=0.30),15,0.3,0.8248175182481752,0.345642540620384,0.5852300294342796,0.6657214633041865
Transformer (orig theta=0.30),16,0.3,0.5416666666666666,0.5891203703703703,0.5653935185185185,0.576880787037037
Transformer (orig theta=0.30),17,0.3,0.8074074074074075,0.434991974317817,0.6211996908626123,0.699013138338981
Transformer (orig theta=0.30),18,0.3,0.7607655502392344,0.40053763440860213,0.5806515923239183,0.598249043919672
Transformer (orig theta=0.30),19,0.3,0.794392523364486,0.5230769230769231,0.6587347232207046,0.7376108315360652
Transformer (orig theta=0.30),20,0.3,0.797752808988764,0.4146341463414634,0.6061934776651137,0.6730092657744069
"Attention default (theta=0.50, no selection)",1,,0.5705521472392638,0.5531400966183575,0.5618461219288107,0.5743309326931627
"Attention default (theta=0.50, no selection)",3,,0.7094430992736077,0.6,0.6547215496368038,0.6856976392251817
"Attention default (theta=0.50, no selection)",4,,0.4660714285714286,0.8209121245828699,0.6434917765771493,0.6755720641983156
