model,feature_set,metric,mean,ci_low,ci_high
DT,full,sens,0.5720868242450071,0.48351719752093564,0.6532365604312941
DT,full,spec,0.6594924504466674,0.5935028114252286,0.7306397460540885
DT,full,bal_acc,0.6157896373458372,0.5878022776058163,0.6413376951182603
DT,full,auc,0.6493520645433802,0.6163634367807764,0.6825491511928904
DT,sensor_only,sens,0.5355439287995937,0.44924122977720066,0.6076838245907268
DT,sensor_only,spec,0.6899682567173716,0.625870279923422,0.7576024788865787
DT,sensor_only,bal_acc,0.6127560927584826,0.5837049944303722,0.6394597742633134
DT,sensor_only,auc,0.6388205348004147,0.6061292576465361,0.6696914088248671
LR,full,sens,0.625122582394644,0.5476130313619876,0.7039898605006553
LR,full,spec,0.6425359884870512,0.585210157608762,0.697767243056594
LR,full,bal_acc,0.6338292854408476,0.6063310968115122,0.658417209454071
LR,full,auc,0.697409695539364,0.6620456185714826,0.7294957050672658
LR,sensor_only,sens,0.5967520279563557,0.5099698299115782,0.6828445896063529
LR,sensor_only,spec,0.6423811640213848,0.5751948866458426,0.7055251619201356
LR,sensor_only,bal_acc,0.6195665959888703,0.5892139146485115,0.651681085187615
LR,sensor_only,auc,0.6756111023117516,0.6355419017360597,0.7157568348530126
