model,feature_set,metric,mean,ci_low,ci_high
lgb,full,sens,0.29934619478765073,0.22890647153062435,0.36897499476075646
lgb,full,spec,0.8854582302141316,0.8474457920050433,0.9207427712429106
lgb,full,bal_acc,0.5924022125008912,0.5682323065960103,0.6167731902111934
lgb,full,auc,0.6935426659609999,0.6541254036988976,0.732705855509371
lgb,sensor_only,sens,0.26535252758432787,0.21382004490026313,0.31876828609666336
lgb,sensor_only,spec,0.8939895410235507,0.8656470762317138,0.9225423855873489
lgb,sensor_only,bal_acc,0.5796710343039393,0.556125912722989,0.6025800004487678
lgb,sensor_only,auc,0.6782162012260863,0.6370189574375602,0.7196128973801018
rf,full,sens,0.24375555107352512,0.17759562602654191,0.3138131669629297
rf,full,spec,0.9168674033000005,0.8825148825250526,0.9481133867868571
rf,full,bal_acc,0.5803114771867628,0.5566152462642427,0.6048587088968468
rf,full,auc,0.6920622056870497,0.6489893872586656,0.7320225449991347
rf,sensor_only,sens,0.22560645574523608,0.17092535576149162,0.2827373307202351
rf,sensor_only,spec,0.9282196410938524,0.9039845817676373,0.9519847900494447
rf,sensor_only,bal_acc,0.5769130484195443,0.5550484596634054,0.6008200550974122
rf,sensor_only,auc,0.684942251520307,0.6422769511693546,0.7250395790581167
xgb,full,sens,0.5944877120123478,0.5151723380842755,0.672168551471256
xgb,full,spec,0.6912145550284525,0.6266775832834811,0.7471002593981642
xgb,full,bal_acc,0.6428511335204001,0.6124122455591988,0.6737267723546335
xgb,full,auc,0.7118883969215505,0.6696046824871275,0.7519562078008004
xgb,sensor_only,sens,0.594423843264149,0.5276240149072938,0.6634523754152137
xgb,sensor_only,spec,0.682689158358654,0.629517950913597,0.7320353968013839
xgb,sensor_only,bal_acc,0.6385565008114015,0.6068495223653037,0.6682862986213098
xgb,sensor_only,auc,0.6991082450750999,0.6530137982296852,0.7434952846173389
