metric,model_A,model_B,mean_A,mean_B,delta,ci_low,ci_high,p_A_gt_B,p_two_sided
sens,Attention (default),Attention (tuned),0.5210397038210448,0.5774610871198732,-0.056421383298828315,-0.10501768006146509,-0.01204959189444847,0.004,0.008
sens,Attention (default),DT,0.5210397038210448,0.5720868242450072,-0.051047120423962325,-0.10639527654945576,0.014950123495445604,0.062,0.124
sens,Attention (default),LGB (default),0.5210397038210448,0.295264934794256,0.2257747690267889,0.17006222550437464,0.275351153055341,1,0
sens,Attention (default),LGB (tuned),0.5210397038210448,0.28132076269192074,0.2397189411291241,0.1799337410642557,0.29444357624344997,1,0
sens,Attention (default),LR,0.5210397038210448,0.625122582394644,-0.1040828785735992,-0.16158172547765812,-0.04839601880662195,0,0
sens,Attention (default),RF (default),0.5210397038210448,0.22392764833193204,0.29711205548911285,0.2520901409624863,0.34312250114464676,1,0
sens,Attention (default),RF (tuned),0.5210397038210448,0.23994917432064294,0.2810905295004019,0.19303619708674769,0.3675898461982745,1,0
sens,Attention (default),Transformer,0.5210397038210448,0.6905720506484329,-0.16953234682738796,-0.19905854458635425,-0.13446195566880007,0,0
sens,Attention (default),XGB (default),0.5210397038210448,0.416807888570512,0.10423181525053286,0.05701621416521802,0.14637362328229372,1,0
sens,Attention (default),XGB (tuned),0.5210397038210448,0.593085812791088,-0.07204610897004309,-0.17166356585759476,0.025256646261557887,0.064,0.128
sens,Attention (tuned),Attention (default),0.5774610871198732,0.5210397038210448,0.056421383298828315,0.014551425824826334,0.1024368023042097,0.994,0.012
sens,Attention (tuned),DT,0.5774610871198732,0.5720868242450072,0.005374262874865996,-0.04565947905806032,0.0677655099769832,0.548,0.904
sens,Attention (tuned),LGB (default),0.5774610871198732,0.295264934794256,0.28219615232561723,0.23427318187127277,0.3234732112476043,1,0
sens,Attention (tuned),LGB (tuned),0.5774610871198732,0.28132076269192074,0.2961403244279524,0.24768785170282298,0.34201081212712786,1,0
sens,Attention (tuned),LR,0.5774610871198732,0.625122582394644,-0.0476614952747709,-0.11811610992191661,0.018375864212118082,0.095,0.19
sens,Attention (tuned),RF (default),0.5774610871198732,0.22392764833193204,0.35353343878794113,0.31750676741218414,0.3873254286114169,1,0
sens,Attention (tuned),RF (tuned),0.5774610871198732,0.23994917432064294,0.3375119127992302,0.22588634804601013,0.4379370901833238,1,0
sens,Attention (tuned),Transformer,0.5774610871198732,0.6905720506484329,-0.11311096352855965,-0.1716215561231017,-0.05381726631615721,0,0
sens,Attention (tuned),XGB (default),0.5774610871198732,0.416807888570512,0.16065319854936116,0.11320974067696092,0.20424726958325062,1,0
sens,Attention (tuned),XGB (tuned),0.5774610871198732,0.593085812791088,-0.015624725671214779,-0.14454485759690702,0.08810594813299995,0.399,0.798
sens,DT,Attention (default),0.5720868242450072,0.5210397038210448,0.051047120423962325,-0.013170926685792526,0.10661539787543589,0.946,0.108
sens,DT,Attention (tuned),0.5720868242450072,0.5774610871198732,-0.005374262874865996,-0.07172895097749266,0.048640927726989844,0.457,0.914
sens,DT,LGB (default),0.5720868242450072,0.295264934794256,0.2768218894507512,0.20341237310172722,0.34713560250928793,1,0
sens,DT,LGB (tuned),0.5720868242450072,0.28132076269192074,0.29076606155308643,0.21763749364105417,0.36401458480619825,1,0
sens,DT,LR,0.5720868242450072,0.625122582394644,-0.05303575814963689,-0.12732566308600574,0.014867693976203949,0.073,0.146
sens,DT,RF (default),0.5720868242450072,0.22392764833193204,0.34815917591307516,0.2842342263389049,0.41417071079199186,1,0
sens,DT,RF (tuned),0.5720868242450072,0.23994917432064294,0.33213764992436423,0.23301280516565184,0.4404280189166995,1,0
sens,DT,Transformer,0.5720868242450072,0.6905720506484329,-0.11848522640342563,-0.1894621607247206,-0.05250391137006093,0,0
sens,DT,XGB (default),0.5720868242450072,0.416807888570512,0.1552789356744952,0.09217337205590721,0.21635201410432395,1,0
sens,DT,XGB (tuned),0.5720868242450072,0.593085812791088,-0.020998988546080764,-0.1221020621537604,0.08363056819352306,0.328,0.656
sens,LGB (default),Attention (default),0.295264934794256,0.5210397038210448,-0.2257747690267889,-0.2691115149143263,-0.17260692008696948,0,0
sens,LGB (default),Attention (tuned),0.295264934794256,0.5774610871198732,-0.28219615232561723,-0.32841150770915867,-0.23824583980929193,0,0
sens,LGB (default),DT,0.295264934794256,0.5720868242450072,-0.2768218894507512,-0.3472587474385559,-0.2053519890021897,0,0
sens,LGB (default),LGB (tuned),0.295264934794256,0.28132076269192074,0.013944172102335197,0.0020713508162401866,0.02429555397935717,0.991,0.018
sens,LGB (default),LR,0.295264934794256,0.625122582394644,-0.3298576476003881,-0.3774236948879937,-0.2839339861103112,0,0
sens,LGB (default),RF (default),0.295264934794256,0.22392764833193204,0.07133728646232392,0.048972062553667914,0.09491964488295064,1,0
sens,LGB (default),RF (tuned),0.295264934794256,0.23994917432064294,0.055315760473613015,-0.058126477531917166,0.1572648287529552,0.868,0.264
sens,LGB (default),Transformer,0.295264934794256,0.6905720506484329,-0.3953071158541769,-0.4497161830252417,-0.3397505630441993,0,0
sens,LGB (default),XGB (default),0.295264934794256,0.416807888570512,-0.12154295377625604,-0.14276959792266972,-0.09965708450687652,0,0
sens,LGB (default),XGB (tuned),0.295264934794256,0.593085812791088,-0.297820877996832,-0.3961202854545071,-0.19702591845456016,0,0
sens,LGB (tuned),Attention (default),0.28132076269192074,0.5210397038210448,-0.2397189411291241,-0.29031547989029927,-0.18161545721640268,0,0
sens,LGB (tuned),Attention (tuned),0.28132076269192074,0.5774610871198732,-0.2961403244279524,-0.3436071743028146,-0.2439904019340594,0,0
sens,LGB (tuned),DT,0.28132076269192074,0.5720868242450072,-0.29076606155308643,-0.3609126548619073,-0.21756431289201383,0,0
sens,LGB (tuned),LGB (default),0.28132076269192074,0.295264934794256,-0.013944172102335197,-0.024395705419004928,-0.003442845976430378,0.008,0.016
sens,LGB (tuned),LR,0.28132076269192074,0.625122582394644,-0.34380181970272333,-0.38845551388112604,-0.2972420101088321,0,0
sens,LGB (tuned),RF (default),0.28132076269192074,0.22392764833193204,0.05739311435998872,0.031586088546037866,0.08227013821745738,1,0
sens,LGB (tuned),RF (tuned),0.28132076269192074,0.23994917432064294,0.04137158837127781,-0.06932632743412497,0.13594834074832152,0.798,0.404
sens,LGB (tuned),Transformer,0.28132076269192074,0.6905720506484329,-0.40925128795651206,-0.468800544615453,-0.3467563402008529,0,0
sens,LGB (tuned),XGB (default),0.28132076269192074,0.416807888570512,-0.13548712587859124,-0.15995154136409973,-0.1116352850983404,0,0
sens,LGB (tuned),XGB (tuned),0.28132076269192074,0.593085812791088,-0.31176505009916716,-0.41398023049031735,-0.21892517799803063,0,0
sens,LR,Attention (default),0.625122582394644,0.5210397038210448,0.1040828785735992,0.049499933662061714,0.1630743595120121,1,0
sens,LR,Attention (tuned),0.625122582394644,0.5774610871198732,0.0476614952747709,-0.015857123467189673,0.12087064859240093,0.917,0.166
sens,LR,DT,0.625122582394644,0.5720868242450072,0.05303575814963689,-0.009700884120608384,0.12361580400723637,0.946,0.108
sens,LR,LGB (default),0.625122582394644,0.295264934794256,0.3298576476003881,0.28310819510395946,0.3758056907777338,1,0
sens,LR,LGB (tuned),0.625122582394644,0.28132076269192074,0.34380181970272333,0.2986323906139807,0.3890811803069878,1,0
