metric,model_A,model_B,mean_A,mean_B,delta,ci_low,ci_high,p_raw,p_BH,p_holm,sig_raw,sig_BH,sig_holm,other,d_xgb_minus_other
sens,Attention (default),XGB (tuned),0.5210397038210448,0.5944877120123478,-0.07344800819130295,-0.1232618487137524,-0.025281459357651494,0.004,0.006,0.256,TRUE,TRUE,FALSE,Attention (default),0.07344800819130295
sens,DT,XGB (tuned),0.5720868242450072,0.5944877120123478,-0.02240088776734064,-0.08839487139568498,0.03624541330097514,0.526,0.5808588957055215,1,FALSE,FALSE,FALSE,DT,0.02240088776734064
sens,LGB (default),XGB (tuned),0.295264934794256,0.5944877120123478,-0.2992227772180919,-0.3338215516226915,-0.2693322836712158,0,0,0,TRUE,TRUE,TRUE,LGB (default),0.2992227772180919
sens,LGB (tuned),XGB (tuned),0.29934619478765073,0.5944877120123478,-0.29514151722469706,-0.3267292505922053,-0.2661240618318104,0,0,0,TRUE,TRUE,TRUE,LGB (tuned),0.29514151722469706
sens,LR,XGB (tuned),0.625122582394644,0.5944877120123478,0.03063487038229626,-0.004356826841480122,0.06927900711344318,0.1,0.12765957446808512,1,FALSE,FALSE,FALSE,LR,-0.03063487038229626
sens,RF (default),XGB (tuned),0.22392764833193204,0.5944877120123478,-0.3705600636804158,-0.4173255646455397,-0.32779193021514746,0,0,0,TRUE,TRUE,TRUE,RF (default),0.3705600636804158
sens,RF (tuned),XGB (tuned),0.24375555107352512,0.5944877120123478,-0.3507321609388227,-0.3965193743455736,-0.31072330125030007,0,0,0,TRUE,TRUE,TRUE,RF (tuned),0.3507321609388227
sens,Transformer,XGB (tuned),0.649109710207098,0.5944877120123478,0.054621998194750165,-0.02100348999466936,0.12212565222559496,0.144,0.18,1,FALSE,FALSE,FALSE,Transformer,-0.054621998194750165
sens,XGB (default),XGB (tuned),0.416807888570512,0.5944877120123478,-0.1776798234418358,-0.20092513023085803,-0.15667380059288047,0,0,0,TRUE,TRUE,TRUE,XGB (default),0.1776798234418358
spec,Attention (default),XGB (tuned),0.697892351125697,0.6912145550284525,0.0066777960972444934,-0.036246980554391045,0.04732813627427468,0.82,0.853179190751445,1,FALSE,FALSE,FALSE,Attention (default),-0.0066777960972444934
