delta_s,metric,mean,ci_low,ci_high
1,auc,0.6930516624660793,0.6491580751274852,0.7345018563388798
1,bal_acc,0.636622616844853,0.6040569521192581,0.6667869731831554
1,sens,0.4915831788889198,0.41152095792805427,0.5738488329829007
1,spec,0.7816620548007862,0.7357094405900896,0.8232311975205762
2,auc,0.7057704905804404,0.6638972651908983,0.7469101836367535
2,bal_acc,0.6376080290381133,0.6060898058641847,0.6676238128276097
2,sens,0.4875964775450663,0.40822531302364756,0.557841045081608
2,spec,0.7876195805311603,0.7437060854348996,0.8284130433016879
3,auc,0.7180387275446136,0.6762154814551969,0.7579276181507948
3,bal_acc,0.6478543953769429,0.6117490678818671,0.6799251135674476
3,sens,0.5044812778093986,0.4181049431087058,0.5857690525694401
3,spec,0.7912275129444872,0.7470680916533772,0.8329813076922649
4,auc,0.7097346675333692,0.6756475709376951,0.7453832914397777
4,bal_acc,0.6319685665274377,0.6044217642750506,0.659084915904585
4,sens,0.460072510772883,0.38498493936531353,0.5370456786125409
4,spec,0.8038646222819925,0.757230954173152,0.844723545524987
5,auc,0.6932224749145043,0.6563608875968989,0.7298958521480603
5,bal_acc,0.6153074147476287,0.5899750846941719,0.6389415740847361
5,sens,0.416807888570512,0.3454034529818445,0.49235562228052204
5,spec,0.8138069409247455,0.7685455566928692,0.8580786125926966
