subject,group,n_shots,n_used,n_test,n_test_eating,sens_base,sens_fewshot,improvement
01,other,5,5,508,360,0.41388888888888886,0.44166666666666665,0.02777777777777779
01,other,10,10,508,360,0.41388888888888886,0.41944444444444445,0.005555555555555591
01,other,20,20,508,360,0.41388888888888886,0.4361111111111111,0.022222222222222254
01,other,50,50,508,360,0.41388888888888886,0.4527777777777778,0.03888888888888892
01,other,100,100,508,360,0.41388888888888886,0.4666666666666667,0.05277777777777781
03,other,5,5,636,285,0.4982456140350877,0.512280701754386,0.01403508771929829
03,other,10,10,636,285,0.4982456140350877,0.5017543859649123,0.0035087719298245723
03,other,20,20,636,285,0.4982456140350877,0.5368421052631579,0.038596491228070184
03,other,50,50,636,285,0.4982456140350877,0.5578947368421052,0.05964912280701751
03,other,100,100,636,285,0.4982456140350877,0.5684210526315789,0.07017543859649122
04,other,5,5,627,202,0.16831683168316833,0.17326732673267325,0.004950495049504927
04,other,10,10,627,202,0.16831683168316833,0.21287128712871287,0.04455445544554454
04,other,20,20,627,202,0.16831683168316833,0.19306930693069307,0.024752475247524747
04,other,50,50,627,202,0.16831683168316833,0.18316831683168316,0.014851485148514837
04,other,100,100,627,202,0.16831683168316833,0.1782178217821782,0.009900990099009882
05,other,5,5,588,351,0.5014245014245015,0.4928774928774929,-0.008547008547008572
05,other,10,10,588,351,0.5014245014245015,0.5242165242165242,0.022792022792022748
05,other,20,20,588,351,0.5014245014245015,0.50997150997151,0.008547008547008517
05,other,50,50,588,351,0.5014245014245015,0.5327635327635327,0.031339031339031265
05,other,100,100,588,351,0.5014245014245015,0.5156695156695157,0.014245014245014231
06,other,5,5,700,183,0.15846994535519127,0.15300546448087432,-0.005464480874316946
06,other,10,10,700,183,0.15846994535519127,0.16939890710382513,0.010928961748633864
06,other,20,20,700,183,0.15846994535519127,0.1912568306010929,0.03278688524590162
06,other,50,50,700,183,0.15846994535519127,0.16393442622950818,0.005464480874316918
06,other,100,100,700,183,0.15846994535519127,0.16393442622950818,0.005464480874316918
07,other,5,5,608,144,0.3958333333333333,0.4097222222222222,0.013888888888888895
07,other,10,10,608,144,0.3958333333333333,0.4027777777777778,0.006944444444444475
07,other,20,20,608,144,0.3958333333333333,0.4166666666666667,0.02083333333333337
07,other,50,50,608,144,0.3958333333333333,0.5069444444444444,0.1111111111111111
07,other,100,100,608,144,0.3958333333333333,0.4305555555555556,0.034722222222222265
08,difficult,5,5,535,85,0.11764705882352941,0.1411764705882353,0.023529411764705882
08,difficult,10,10,535,85,0.11764705882352941,0.16470588235294117,0.047058823529411764
08,difficult,20,20,535,85,0.11764705882352941,0.15294117647058825,0.03529411764705884
08,difficult,50,50,535,85,0.11764705882352941,0.12941176470588237,0.011764705882352955
08,difficult,100,100,535,85,0.11764705882352941,0.18823529411764706,0.07058823529411765
09,difficult,5,5,628,134,0.17164179104477612,0.21641791044776118,0.044776119402985065
09,difficult,10,10,628,134,0.17164179104477612,0.3283582089552239,0.15671641791044777
09,difficult,20,20,628,134,0.17164179104477612,0.14925373134328357,-0.022388059701492546
09,difficult,50,50,628,134,0.17164179104477612,0.29850746268656714,0.12686567164179102
09,difficult,100,100,628,134,0.17164179104477612,0.31343283582089554,0.14179104477611942
10,difficult,5,5,629,166,0.3614457831325301,0.3614457831325301,0
10,difficult,10,10,629,166,0.3614457831325301,0.3614457831325301,0
10,difficult,20,20,629,166,0.3614457831325301,0.3674698795180723,0.006024096385542188
10,difficult,50,50,629,166,0.3614457831325301,0.4036144578313253,0.042168674698795205
10,difficult,100,100,629,166,0.3614457831325301,0.3855421686746988,0.024096385542168697
11,difficult,5,5,478,81,0.2716049382716049,0.35802469135802467,0.08641975308641975
11,difficult,10,10,478,81,0.2716049382716049,0.3333333333333333,0.06172839506172839
11,difficult,20,20,478,81,0.2716049382716049,0.32098765432098764,0.04938271604938271
11,difficult,50,50,478,81,0.2716049382716049,0.30864197530864196,0.037037037037037035
11,difficult,100,100,478,81,0.2716049382716049,0.2839506172839506,0.012345679012345678
12,other,5,5,679,132,0.4621212121212121,0.45454545454545453,-0.007575757575757569
12,other,10,10,679,132,0.4621212121212121,0.4621212121212121,0
12,other,20,20,679,132,0.4621212121212121,0.5151515151515151,0.05303030303030304
12,other,50,50,679,132,0.4621212121212121,0.5075757575757576,0.04545454545454547
12,other,100,100,679,132,0.4621212121212121,0.5151515151515151,0.05303030303030304
13,other,5,5,923,112,0.3392857142857143,0.3482142857142857,0.008928571428571397
13,other,10,10,923,112,0.3392857142857143,0.3392857142857143,0
13,other,20,20,923,112,0.3392857142857143,0.32142857142857145,-0.01785714285714285
13,other,50,50,923,112,0.3392857142857143,0.38392857142857145,0.04464285714285715
13,other,100,100,923,112,0.3392857142857143,0.38392857142857145,0.04464285714285715
14,other,5,5,627,34,0.08823529411764706,0.08823529411764706,0
14,other,10,10,627,34,0.08823529411764706,0.08823529411764706,0
14,other,20,20,627,34,0.08823529411764706,0.17647058823529413,0.08823529411764706
14,other,50,50,627,34,0.08823529411764706,0.11764705882352941,0.029411764705882346
14,other,100,54,627,34,0.08823529411764706,0.20588235294117646,0.1176470588235294
15,other,5,5,377,65,0.5230769230769231,0.4153846153846154,-0.1076923076923077
15,other,10,10,377,65,0.5230769230769231,0.6153846153846154,0.09230769230769231
