group,n_shots,mean_base,mean_fewshot,mean_improvement,n_subj
difficult,5,0.2782179142544881,0.30916297110531027,0.03094505685082214,5
difficult,10,0.2782179142544881,0.3375686415548057,0.05935072730031758,5
difficult,20,0.2782179142544881,0.29188048833058633,0.013662574076098239,5
difficult,50,0.2782179142544881,0.3280351321064834,0.04981721785199524,5
difficult,100,0.2782179142544881,0.3279821831794384,0.04976426892495029,5
other,5,0.3985544611323237,0.3969798602153455,-0.0015746009169782305,14
other,10,0.3985544611323237,0.41348865232593013,0.014934191193606464,14
other,20,0.3985544611323237,0.4180034947933572,0.019449033661033507,14
other,50,0.3985544611323237,0.43582867031073846,0.03727420917841475,14
other,100,0.3985544611323237,0.4215660691586017,0.023011608026277962,14
