subject,n_iu,n_eating,n_non_eat,n_fp,n_fp_b1,fp_rate,fp_b1_frac_of_fp
01,1216,811,405,183,49,0.45185185185185184,0.2677595628415301
03,1613,823,790,383,97,0.48481012658227846,0.25326370757180156
04,1446,553,893,95,26,0.10638297872340426,0.2736842105263158
05,1599,1044,555,173,57,0.3117117117117117,0.32947976878612717
06,1440,523,917,393,62,0.42857142857142855,0.15776081424936386
07,1394,317,1077,271,76,0.25162488393686167,0.28044280442804426
08,992,295,697,131,23,0.18794835007173602,0.17557251908396945
09,1483,339,1144,224,37,0.1958041958041958,0.16517857142857142
10,1386,433,953,280,59,0.2938090241343127,0.21071428571428572
11,959,200,759,96,20,0.12648221343873517,0.20833333333333334
12,1551,336,1215,323,70,0.26584362139917694,0.21671826625386997
13,1916,278,1638,538,84,0.32844932844932845,0.15613382899628253
14,1168,88,1080,207,20,0.19166666666666668,0.0966183574879227
15,802,137,665,418,61,0.6285714285714286,0.145933014354067
16,970,120,850,205,31,0.2411764705882353,0.15121951219512195
17,1368,132,1236,220,32,0.1779935275080906,0.14545454545454545
18,1312,210,1102,582,49,0.5281306715063521,0.08419243986254296
19,1762,213,1549,605,92,0.3905745642349903,0.15206611570247933
20,1681,177,1504,426,59,0.28324468085106386,0.13849765258215962
