subject,model,threshold,sens,spec,bal_acc,auc,n,n_eating
01,Attention,0.5,0.5693251533742332,0.5942028985507246,0.5817640259624789,0.6087015796805074,1229,815
03,Attention,0.5,0.7263922518159807,0.62125,0.6738211259079903,0.7344854721549636,1626,826
04,Attention,0.5,0.4714285714285714,0.7931034482758621,0.6322660098522168,0.6765274908628636,1459,560
05,Attention,0.5,0.6898854961832062,0.6980461811722913,0.6939658386777487,0.7659247759413176,1611,1048
06,Attention,0.5,0.5549242424242424,0.5967567567567568,0.5758404995904995,0.5926330876330876,1453,528
07,Attention,0.5,0.43788819875776397,0.8071955719557196,0.6225418853567417,0.7087592537416059,1406,322
08,Attention,0.5,0.38175675675675674,0.6755994358251057,0.5286780962909312,0.5300385011245378,1005,296
09,Attention,0.5,0.4269005847953216,0.6351819757365684,0.531041280265945,0.5611450636991091,1496,342
10,Attention,0.5,0.503448275862069,0.5327102803738317,0.5180792781179504,0.5442904715866366,1398,435
11,Attention,0.5,0.45145631067961167,0.7809647979139505,0.6162105542967811,0.659637219782028,973,206
12,Attention,0.5,0.2434017595307918,0.8757154538021259,0.5595586066664588,0.5903611857770061,1564,341
13,Attention,0.5,0.6142857142857143,0.610909090909091,0.6125974025974026,0.6453225108225109,1930,280
14,Attention,0.5,0.5454545454545454,0.8499542543458372,0.6977043999001913,0.7419945105215003,1181,88
15,Attention,0.5,0.9635036496350365,0.4401772525849335,0.701840451109985,0.814499347701862,814,137
16,Attention,0.5,0.5666666666666667,0.6307870370370371,0.5987268518518518,0.6425057870370371,984,120
17,Attention,0.5,0.6592592592592592,0.6597110754414125,0.6594851673503359,0.7379287795018131,1381,135
18,Attention,0.5,0.722488038277512,0.5349462365591398,0.6287171374183258,0.6829157448851846,1325,209
19,Attention,0.5,0.780373831775701,0.6333333333333333,0.7068535825545171,0.7732925952552121,1774,214
20,Attention,0.5,0.6629213483146067,0.6031641397495056,0.6330427440320561,0.7003807040803478,1695,178
01,Transformer,0.3,0.7815950920245399,0.28743961352657005,0.534517352775555,0.6140526362585579,1229,815
03,Transformer,0.3,0.7469733656174334,0.56,0.6534866828087167,0.6949016343825667,1626,826
04,Transformer,0.3,0.7089285714285715,0.5984427141268076,0.6536856427776896,0.7166653424439854,1459,560
05,Transformer,0.3,0.75,0.6447602131438721,0.697380106571936,0.7433629818448063,1611,1048
06,Transformer,0.3,0.6060606060606061,0.4702702702702703,0.5381654381654382,0.5506879606879607,1453,528
07,Transformer,0.3,0.7546583850931677,0.49723247232472323,0.6259454287089454,0.6466073434026266,1406,322
08,Transformer,0.3,0.6317567567567568,0.5035260930888575,0.5676414249228072,0.5954856478481302,1005,296
09,Transformer,0.3,0.5701754385964912,0.4168110918544194,0.49349326522545534,0.530549727872541,1496,342
10,Transformer,0.3,0.45977011494252873,0.5638629283489096,0.5118165216457191,0.5205118105537054,1398,435
11,Transformer,0.3,0.5339805825242718,0.6558018252933507,0.5948912039088112,0.6449285452082885,973,206
12,Transformer,0.3,0.592375366568915,0.5568274734260016,0.5746014199974583,0.6274580798622684,1564,341
13,Transformer,0.3,0.6964285714285714,0.41878787878787876,0.557608225108225,0.61895670995671,1930,280
14,Transformer,0.3,0.7613636363636364,0.6935041171088746,0.7274338767362555,0.8104674374116277,1181,88
15,Transformer,0.3,0.8248175182481752,0.345642540620384,0.5852300294342796,0.6657214633041865,814,137
16,Transformer,0.3,0.5416666666666666,0.5891203703703703,0.5653935185185185,0.576880787037037,984,120
17,Transformer,0.3,0.8074074074074075,0.434991974317817,0.6211996908626123,0.699013138338981,1381,135
18,Transformer,0.3,0.7607655502392344,0.40053763440860213,0.5806515923239183,0.598249043919672,1325,209
19,Transformer,0.3,0.794392523364486,0.5230769230769231,0.6587347232207046,0.7376108315360652,1774,214
20,Transformer,0.3,0.797752808988764,0.4146341463414634,0.6061934776651137,0.6730092657744069,1695,178
