subject,fold,sens,spec,bal_acc,auc,pipeline
01,1,0.5869297163995068,0.5654320987654321,0.5761809075824694,0.6026244082142154,unfiltered
03,2,0.7946537059538274,0.5417721518987342,0.6682129289262808,0.7519894796745465,unfiltered
04,3,0.4231464737793852,0.8947368421052632,0.6589416579423242,0.7212861132092289,unfiltered
05,4,0.7423371647509579,0.7207207207207207,0.7315289427358393,0.8329760795278023,unfiltered
06,5,0.5277246653919694,0.5812431842966194,0.5544839248442943,0.5669758189790881,unfiltered
07,6,0.6845425867507886,0.744661095636026,0.7146018411934073,0.7914729840162404,unfiltered
08,7,0.3525423728813559,0.8163558106169297,0.5844490917491428,0.6568100576319826,unfiltered
09,8,0.2861356932153392,0.7954545454545454,0.5407951193349423,0.5717234461703495,unfiltered
10,9,0.3995381062355658,0.7051416579223505,0.5523398820789581,0.5704387990762134,unfiltered
11,10,0.36,0.8722002635046113,0.6161001317523056,0.667819499341239,unfiltered
12,11,0.6220238095238095,0.7267489711934156,0.6743863903586126,0.7558764452282994,unfiltered
13,12,0.6690647482014388,0.6501831501831502,0.6596239491922945,0.6777083827443492,unfiltered
14,13,0.6477272727272727,0.7981481481481482,0.7229377104377104,0.8239898989898963,unfiltered
15,14,0.9635036496350365,0.36390977443609024,0.6637067120355634,0.8077383239119724,unfiltered
16,15,0.475,0.7517647058823529,0.6133823529411764,0.708617647058822,unfiltered
17,16,0.6363636363636364,0.808252427184466,0.7223080317740511,0.807449494949497,unfiltered
18,17,0.7761904761904762,0.4618874773139746,0.6190389767522254,0.6673018753780954,unfiltered
19,18,0.8450704225352113,0.5984506132989025,0.7217605179170569,0.7651672895128483,unfiltered
20,19,0.6949152542372882,0.7021276595744681,0.6985214569058782,0.7349253215530774,unfiltered
01,1,0.6029593094944513,0.582716049382716,0.5928376794385837,0.6305277739720813,filtered
03,2,0.8238153098420413,0.47848101265822784,0.6511481612501346,0.7489671931956252,filtered
04,3,0.4104882459312839,0.9148936170212766,0.6626909314762802,0.708442598551321,filtered
05,4,0.7231800766283525,0.7801801801801802,0.7516801284042663,0.8359531945738846,filtered
06,5,0.5086042065009561,0.6106870229007634,0.5596456147008597,0.5696437172507425,filtered
07,6,0.6056782334384858,0.7669452181987001,0.6863117258185929,0.7708877036047644,filtered
08,7,0.2677966101694915,0.8866571018651362,0.5772268560173139,0.6606132821049058,filtered
09,8,0.2536873156342183,0.833916083916084,0.5438016997751511,0.5991062772036222,filtered
10,9,0.3441108545034642,0.7219307450157397,0.5330207997596019,0.5686285438714267,filtered
11,10,0.335,0.9051383399209486,0.6200691699604743,0.6313405797101461,filtered
12,11,0.5148809523809523,0.745679012345679,0.6302799823633156,0.7187193807564162,filtered
13,12,0.6546762589928058,0.6642246642246642,0.659450461608735,0.6888137841375245,filtered
14,13,0.6022727272727273,0.8018518518518518,0.7020622895622896,0.7926241582491588,filtered
15,14,0.9416058394160584,0.3398496240601504,0.6407277317381044,0.8009988474836753,filtered
16,15,0.48333333333333334,0.7447058823529412,0.6140196078431372,0.6773921568627466,filtered
17,16,0.6287878787878788,0.8414239482200647,0.7351059135039717,0.8197080023536368,filtered
18,17,0.7714285714285715,0.4664246823956443,0.6189266269121079,0.6811295480079463,filtered
19,18,0.8262910798122066,0.6262104583602324,0.7262507690862194,0.7709108102455929,filtered
20,19,0.5706214689265536,0.7001329787234043,0.635377223824979,0.68447604880394175,filtered
