subject,model,sens,spec,bal_acc,auc,n
01,Attention (default),0.5705521472392638,0.5531400966183575,0.5618461219288107,0.5743309326931627,1229
02,Attention (default),0.05845181674565561,0.911275415896488,0.4848636163210718,0.5909424066952254,1174
03,Attention (default),0.7094430992736077,0.6,0.6547215496368038,0.6856976392251817,1626
04,Attention (default),0.4660714285714286,0.8209121245828699,0.6434917765771493,0.6755720641983156,1459
05,Attention (default),0.6374045801526718,0.7406749555950266,0.6890397678738491,0.7481712608300679,1611
06,Attention (default),0.49053030303030304,0.7178378378378378,0.6041840704340704,0.6064967239967239,1453
07,Attention (default),0.5186335403726708,0.7121771217712177,0.6154053310719443,0.6850719671792992,1406
08,Attention (default),0.3547297297297297,0.693935119887165,0.5243324248084473,0.5201368505317729,1005
09,Attention (default),0.4064327485380117,0.6629116117850953,0.5346721801615535,0.554982922354992,1496
10,Attention (default),0.35172413793103446,0.7393561786085151,0.5455401582697748,0.5815471288239576,1398
11,Attention (default),0.39805825242718446,0.8135593220338984,0.6058087872305414,0.6249351274034506,973
12,Attention (default),0.4046920821114369,0.7825020441537204,0.5935970631325787,0.5863831787129864,1564
13,Attention (default),0.625,0.6418181818181818,0.6334090909090909,0.6561818181818182,1930
14,Attention (default),0.4659090909090909,0.8774016468435498,0.6716553688763204,0.7266385261581968,1181
15,Attention (default),0.583941605839416,0.6085672082717873,0.5962544070556017,0.6510690142211777,814
16,Attention (default),0.4166666666666667,0.6655092592592593,0.541087962962963,0.5796006944444445,984
17,Attention (default),0.6296296296296297,0.7006420545746388,0.6651358421021343,0.7117650555852802,1381
18,Attention (default),0.6076555023923444,0.5958781362007168,0.6017668192965306,0.6598283342765516,1325
19,Attention (default),0.7289719626168224,0.666025641025641,0.6974988018212317,0.7387311286843996,1774
20,Attention (default),0.5337078651685393,0.6671061305207646,0.600406997844652,0.6398717160569724,1695
