subject,fold,sens,spec,bal_acc,auc,model
01,1,0.3948339483394834,0.721294363256785,0.5580641557981342,0.5911570076034787,"XGB (tuned, EI target)"
03,2,0.6785714285714286,0.7219796215429404,0.7002755250571845,0.7384187056676101,"XGB (tuned, EI target)"
04,3,0.6306306306306306,0.8686943620178041,0.7496624963242173,0.8363675247948205,"XGB (tuned, EI target)"
05,4,0.7967479674796748,0.6216397849462365,0.7091938762129557,0.7347287787394022,"XGB (tuned, EI target)"
06,5,0.7815126050420168,0.7773613193403298,0.7794369621911733,0.8239892658712706,"XGB (tuned, EI target)"
07,6,0.6204819277108434,0.8548387096774194,0.7376603186941314,0.8003157792460177,"XGB (tuned, EI target)"
08,7,0.23809523809523808,0.9044652128764278,0.5712802254858329,0.7876922316174613,"XGB (tuned, EI target)"
09,8,0.16883116883116883,0.9302325581395349,0.5495318634853519,0.6310004301547637,"XGB (tuned, EI target)"
10,9,0.308411214953271,0.7916343919442292,0.5500228034487501,0.5360258294302055,"XGB (tuned, EI target)"
11,10,0.32142857142857145,0.9216931216931217,0.6215608465608465,0.7777399848828404,"XGB (tuned, EI target)"
12,11,0.5050505050505051,0.8962457337883959,0.7006481194194505,0.8262281518254188,"XGB (tuned, EI target)"
13,12,0.4690265486725664,0.8046230049532196,0.636824776812893,0.7573750371369672,"XGB (tuned, EI target)"
14,13,0.4857142857142857,0.9232111692844677,0.7044627274993767,0.8223136374968889,"XGB (tuned, EI target)"
15,14,0.86,0.6950261780104712,0.7775130890052355,0.850104712041884,"XGB (tuned, EI target)"
16,15,0.46153846153846156,0.7947089947089947,0.6281237281237282,0.7173246506579835,"XGB (tuned, EI target)"
17,16,0.55,0.9485011529592621,0.7492505764796311,0.8938028439661863,"XGB (tuned, EI target)"
18,17,0.5855263157894737,0.6504688832054561,0.6179975994974649,0.6470588235294108,"XGB (tuned, EI target)"
19,18,0.6623376623376623,0.7925925925925926,0.7274651274651275,0.8109908609908681,"XGB (tuned, EI target)"
20,19,0.5046728971962616,0.8482367758186398,0.6764548365074508,0.7313084112149517,"XGB (tuned, EI target)"
