delta_s,subject,fold,sens,spec,bal_acc,auc
1,01,1,0.41213653603034134,0.6629955947136564,0.5375660653719989,0.5519166615615099
1,03,2,0.62531328320802,0.6883886255924171,0.6568509544002186,0.6857917899012943
1,04,3,0.36983842010771995,0.9183006535947712,0.6440695368512456,0.6833878973492467
1,05,4,0.562560620756547,0.8120805369127517,0.6873205788346494,0.7826619754066881
1,06,5,0.42857142857142855,0.7971175166297118,0.6128444726005702,0.6216735688280413
1,07,6,0.5549295774647888,0.8125585754451734,0.6837440764549811,0.7698456908272515
1,08,7,0.24528301886792453,0.8677098150782361,0.5564964169730803,0.6508718251518638
1,09,8,0.1639784946236559,0.8192982456140351,0.4916383701188455,0.5176947745708335
1,10,9,0.2533039647577093,0.7916666666666666,0.5224853157121879,0.561185297356829
1,11,10,0.36199095022624433,0.8958333333333334,0.6289121417797888,0.6785975207390648
1,12,11,0.3949367088607595,0.8286919831223629,0.6118143459915613,0.659472306788443
1,13,12,0.6128133704735376,0.7700063011972275,0.6914098358353825,0.7228903714547013
1,14,13,0.7604790419161677,0.8145631067961165,0.787521074356142,0.8672751584210203
1,15,14,0.8238341968911918,0.5557299843014128,0.6897820905963024,0.7930633393253673
1,16,15,0.3575757575757576,0.8035928143712575,0.5805842859735075,0.6156559608056624
1,17,16,0.49137931034482757,0.9055793991416309,0.6984793547432292,0.82526269054314
1,18,17,0.7258566978193146,0.615686274509804,0.6707714861645593,0.7307494960601076
1,19,18,0.6866485013623979,0.6893886156008433,0.6880185584816205,0.7582016731738814
1,20,19,0.5086505190311419,0.8023909985935302,0.6555207588123361,0.6917835885905604
2,01,1,0.39213197969543145,0.6909492273730684,0.5415406035342499,0.5617037012135676
2,03,2,0.5935483870967742,0.6917728852838934,0.6426606361903338,0.6950203715471152
2,04,3,0.38122605363984674,0.9272918861959958,0.6542589699179213,0.7445788872335884
2,05,4,0.5715686274509804,0.8225538971807629,0.6970612623158716,0.7951907131011597
2,06,5,0.4679715302491103,0.7342192691029901,0.6010953996760502,0.6424354563475632
2,07,6,0.5813253012048193,0.8112338858195212,0.6962795935121702,0.771189731300893
2,08,7,0.22442244224422442,0.8879551820728291,0.5561888121585268,0.6513899289088579
2,09,8,0.17663817663817663,0.8046672428694901,0.49065270975383335,0.5281021996665886
2,10,9,0.27314814814814814,0.7801635991820041,0.5266558736650762,0.5819723737029474
2,11,10,0.3284313725490196,0.9218950064020487,0.6251631894755342,0.6818495644096314
2,12,11,0.4380165289256198,0.8392415498763397,0.6386290394009797,0.7140482241284203
2,13,12,0.5753012048192772,0.7695652173913043,0.6724332111052908,0.7018203247773713
2,14,13,0.6666666666666666,0.845708775313404,0.7561877209900354,0.8667445540637411
2,15,14,0.8409090909090909,0.5784615384615385,0.7096853146853147,0.8008304195804216
2,16,15,0.32432432432432434,0.7948113207547169,0.5595678225395206,0.6377246940336564
2,17,16,0.5161290322580645,0.91921768707483,0.7176733596664473,0.8540157998683343
2,18,17,0.7117437722419929,0.6107954545454546,0.6612696133937237,0.7229186886660184
2,19,18,0.6895522388059702,0.7119228118538938,0.7007375253299319,0.7574806875340737
2,20,19,0.5112781954887218,0.8223455933379598,0.6668118944133408,0.7006230009444173
3,01,1,0.4448574969021066,0.6604651162790698,0.5526613065905882,0.5671392755252008
3,03,2,0.6571782178217822,0.7106537530266344,0.6839159854242083,0.7390441828686507
3,04,3,0.4032258064516129,0.922992299229923,0.6631090528407679,0.7511523553789063
3,05,4,0.5788964181994192,0.85665529010238906,0.7177758541509041,0.8146423981312915
3,06,5,0.4973544973544973,0.7337807606263982,0.6155676289904477,0.6444767980935008
3,07,6,0.5726256983240223,0.8191287878787878,0.6958772431014051,0.8016177839851002
3,08,7,0.21779141104294478,0.8617176128093159,0.5397545119261303,0.6395325992802356
3,09,8,0.20430107526881722,0.7906360424028268,0.49746855883582203,0.5351457122231081
3,10,9,0.3120879120879121,0.7981072555205048,0.5550975838042085,0.5952323176297932
3,11,10,0.33031674208144796,0.9223684210526316,0.6263425815670398,0.6927959037866159
3,12,11,0.3869346733668342,0.8551959114139693,0.6210652923904018,0.7364334449076717
3,13,12,0.5252808988764045,0.7888748419721872,0.6570778704242959,0.6893599340899744
3,14,13,0.7625,0.8406219630709426,0.8015609815354713,0.877970116618078
3,15,14,0.8697916666666666,0.5825396825396826,0.7261656746031746,0.821155753968254
3,16,15,0.36809815950920244,0.8250904704463209,0.5965943149777617,0.6660326951682484
3,17,16,0.5152838427947598,0.9224137931034483,0.718848817949104,0.8396288209607023
3,18,17,0.75,0.6199004975124378,0.6849502487562189,0.7539800995024881
3,19,18,0.7111111111111111,0.7046413502109705,0.7078762306610409,0.7629043600562554
3,20,19,0.47750865051903113,0.8175388967468176,0.6475237736329243,0.7144912711735821
4,01,1,0.4382716049382716,0.6973995271867612,0.5678355660625164,0.5864431018883344
4,03,2,0.6080402010050251,0.7410071942446043,0.6745236976248147,0.7354352698745532
4,04,3,0.33270676691729323,0.9344790547798066,0.63359291084855,0.7350916227195288
4,05,4,0.5434146341463415,0.8372881355932204,0.6903513848697809,0.8141595700702783
4,06,5,0.46863468634686345,0.7300546448087432,0.5993446655778033,0.6205008771399195
4,07,6,0.5393939393939394,0.8398148148148148,0.6896043771043772,0.7858698092031421
4,08,7,0.19935691318327975,0.9011461318051576,0.5502515224942186,0.6495499313610764
4,09,8,0.2442528735632184,0.7491319444444444,0.4966924090038314,0.5449717632503198
4,10,9,0.319634703196347,0.8195020746887967,0.5695683889425718,0.6016455408401079
4,11,10,0.18932038834951456,0.9377431906614786,0.5635317895054965,0.6817901351164187
4,12,11,0.4161849710982659,0.8527004909983633,0.6344427310483146,0.7226521479995813
4,13,12,0.5205479452054794,0.7965895249695494,0.6585687350875145,0.6891716583518305
4,14,13,0.591304347826087,0.8626168224299066,0.7269605851279968,0.8410646078829708
4,15,14,0.8598726114649682,0.5521936459909228,0.7060331287279455,0.7759908264837097
4,16,15,0.2677165354330709,0.8722415795586528,0.5699790574958619,0.7022963592965512
4,17,16,0.47023809523809523,0.9285127362366475,0.6993754157373714,0.819731384747818
4,18,17,0.6991869918699187,0.6481994459833795,0.6736932189266491,0.7397398073703741
4,19,18,0.6212624584717608,0.7454299255247122,0.6833461919982364,0.7409290179204067
4,20,19,0.41203703703703703,0.8273769386378962,0.6197069878374666,0.6979252516170933
5,01,1,0.44171779141104295,0.7028985507246377,0.5723081710678404,0.5933700838742186
5,03,2,0.5653753026634383,0.765,0.6651876513317192,0.7351104721549635
5,04,3,0.29285714285714287,0.9421579532814238,0.6175075480692833,0.7338789130780231
5,05,4,0.5353053435114504,0.872113676731794,0.7037095101216222,0.8205123859368441
5,06,5,0.45075757575757575,0.7145945945945946,0.5826760851760852,0.5903132678132671
5,07,6,0.5062111801242236,0.8385608856088561,0.6723860328665399,0.7700001145974186
5,08,7,0.20270270270270271,0.9055007052186178,0.5541017039606603,0.6414439827697935
5,09,8,0.16374269005847952,0.8310225303292894,0.49738261019388447,0.5263918027303949
5,10,9,0.2413793103448276,0.8203530633437176,0.5308661868442726,0.5955741755290568
5,11,10,0.1650485436893204,0.9569752281616688,0.5610118859254946,0.6624536398273451
5,12,11,0.3343108504398827,0.8740801308258381,0.6041954906328604,0.6709308152876293
5,13,12,0.44642857142857145,0.7884848484848485,0.61745670995671,0.6625584415584425
5,14,13,0.5113636363636364,0.8874656907593779,0.699414663561507,0.8186392747234499
5,15,14,0.7737226277372263,0.5568685376661743,0.6652955827017003,0.7544340100701863
5,16,15,0.2916666666666667,0.8807870370370371,0.5862268518518519,0.6983892746913609
5,17,16,0.4,0.9149277688603531,0.6574638844301766,0.8160394744664399
5,18,17,0.5885167464114832,0.6362007168458781,0.6123587316286807,0.6484196806777454
5,19,18,0.5981308411214953,0.7378205128205129,0.6679756769710041,0.737982266954232
5,20,19,0.4101123595505618,0.8365194462755439,0.6233159029130528,0.6947849466347696
