delta_s,metric,mean,sd,min,max
1,auc,0.6930516624660793,0.09449437842214925,0.5176947745708335,0.8672751584210203
1,bal_acc,0.636622616844853,0.07322154925142607,0.4916383701188455,0.787521074356142
1,sens,0.4915831788889198,0.18431780794528901,0.1639784946236559,0.8238341968911918
1,spec,0.7816620548007862,0.09784634910826596,0.5557299843014128,0.9183006535947712
2,auc,0.7057704905804404,0.092412089073634393,0.5281021996665886,0.8667445540637411
2,bal_acc,0.6376080290381133,0.07337160699894799,0.49065270975383335,0.7561877209900354
2,sens,0.4875964775450663,0.1781478542346512,0.17663817663817663,0.8409090909090909
2,spec,0.7876195805311603,0.09910649479513602,0.5784615384615385,0.9272918861959958
3,auc,0.7180387275446136,0.094147411649263,0.5351457122231081,0.877970116618078
3,bal_acc,0.6478543953769429,0.0765246188783748,0.49746855883582203,0.8015609815354713
3,sens,0.5044812778093986,0.18614493865669293,0.20430107526881722,0.8697916666666666
3,spec,0.7912275129444872,0.09930693812510404,0.5825396825396826,0.922992299229923
4,auc,0.7097346675333692,0.08191996905245583,0.5449717632503198,0.8410646078829708
4,bal_acc,0.6319685665274377,0.06472855134996634,0.4966924090038314,0.7269605851279968
4,sens,0.460072510772883,0.17712172501165266,0.18932038834951456,0.8598726114649682
4,spec,0.8038646222819925,0.10232585291262532,0.5521936459909228,0.9377431906614786
5,auc,0.6932224749145043,0.08402995107938918,0.5263918027303949,0.8205123859368441
5,bal_acc,0.6153074147476287,0.057436343706402035,0.49738261019388447,0.7037095101216222
5,sens,0.416807888570512,0.16459485531746357,0.16374269005847952,0.7737226277372263
5,spec,0.8138069409247455,0.10607098468572315,0.5568685376661743,0.9569752281616688
